"dec_lon","dec_lat","gps","plot","species","dbh_cm","height_m","dbh_height"
15.485359,-2.502967,"1808_3_1","elephants","HA",9.6,3.5,0.438203188689293
15.485259,-2.502948,"1809_3_1","elephants","HA",9.4,4.1,0.360343996879963
15.48229,-2.502636,"181_1_1","elephants","HA",11,4.2,0.418143394760325
15.48474,-2.501421,"181_2_1","elephants","HA",11.5,4,0.458637849025649
15.485347,-2.502778,"1810_3_1","elephants","HA",9.4,4.6,0.310370021918125
15.48537,-2.50284,"1811_3_1","elephants","HA",9.2,4.1,0.35100397062582
15.485225,-2.502553,"1812_3_1","elephants","HA",11,4,0.439332693830263
15.485156,-2.50248,"1813_3_1","elephants","HA",13,6,0.335792101923193
15.485194,-2.502333,"1814_3_1","elephants","HA",10.3,4,0.41077723337721
15.485205,-2.502328,"1815_3_1","elephants","HA",9.7,4,0.384711742938282
15.485251,-2.502127,"1816_3_1","elephants","HA",10.5,5,0.322219294733919
15.484634,-2.502231,"1817_3_1","elephants","HA",10.7,3.6,0.473081276917922
15.484603,-2.502279,"1818_3_1","elephants","HA",10,5,0.301029995663981
15.484586,-2.502377,"1819_3_1","elephants","HA",9.6,3.1,0.490909539205296
15.482311,-2.502776,"182_1_1","elephants","HA",10.6,4.6,0.362548033583196
15.484567,-2.502474,"1820_3_1","elephants","HA",11.1,4.2,0.422073688388757
15.484664,-2.502581,"1821_3_1","elephants","HA",9.7,3.6,0.430469233498958
15.484595,-2.50266,"1822_3_1","elephants","HA",10.5,3.1,0.529827605235665
15.484541,-2.50275,"1823_3_1","elephants","HA",9.7,5,0.287801729930226
15.484676,-2.502735,"1824_3_1","elephants","HA",12.7,4,0.501743729627994
15.484891,-2.50281,"1825_3_1","elephants","HA",10,4,0.397940008672038
15.484948,-2.502806,"1826_3_1","elephants","HA",10.5,5.2,0.305185955435139
15.484898,-2.502777,"1827_3_1","elephants","HA",10,4.5,0.346787486224656
15.484407,-2.502855,"1828_3_1","elephants","HA",9.9,4,0.393575203269588
15.484104,-2.502808,"1829_3_1","elephants","HA",10.3,3,0.53571596998551
15.482332,-2.50268,"183_1_1","elephants","HA",12.2,5.6,0.338171803668548
15.484658,-2.501498,"183_2_1","elephants","HA",13.9,4.8,0.461773562878508
15.484006,-2.502773,"1830_3_1","elephants","HA",9.8,3.1,0.499864381858222
15.483885,-2.502802,"1831_3_1","elephants","HA",9.5,4,0.375663613960885
15.483535,-2.502122,"1832_3_1","elephants","HA",14.3,3.7,0.587134313398067
15.483222,-2.502231,"1833_3_1","elephants","HA",12,4,0.477121254719662
15.482578,-2.502404,"1834_3_1","elephants","HA",9.6,3,0.505149978319906
15.482781,-2.504086,"1835_3_1","elephants","HA",9.5,3.1,0.486361911454575
15.482965,-2.504126,"1836_3_1","elephants","HA",12.1,4.5,0.429572856541106
15.483055,-2.504121,"1837_3_1","elephants","HA",9.7,3.5,0.442703689915969
15.483242,-2.504019,"1839_3_1","elephants","HA",10.1,3.1,0.51295967994837
15.482289,-2.502813,"184_1_1","elephants","HA",9,5.2,0.238239165804526
15.484669,-2.501511,"184_2_1","elephants","HA",15.8,3,0.72153583223476
15.483159,-2.503989,"1840_3_1","elephants","HA",11.1,3.1,0.553961284952385
15.483077,-2.504007,"1841_3_1","elephants","HA",10.2,3.1,0.517238477927645
15.483312,-2.503801,"1842_3_1","elephants","HA",10.4,3.1,0.525671645464508
15.483682,-2.504188,"1843_3_1","elephants","HA",9.6,4,0.380211241711606
15.4837,-2.504195,"1844_3_1","elephants","HA",10.5,3.1,0.529827605235665
15.483494,-2.504499,"1845_3_1","elephants","HA",9.3,3,0.491361693834273
15.483889,-2.50412,"1846_3_1","elephants","HA",9.8,3.2,0.486076097372589
15.484017,-2.503748,"1847_3_1","elephants","HA",9.5,4,0.375663613960885
